,Unnamed: 0,AB,TI,year,SO,DT,PM,methods,MNCS,methods2
0,0,"Purpose: To investigate whether it is possible in patients with peri-ventricular nodular heterotopia (PVNH) to detect abnormal fiber projections that have only previously been reported in the histopathology literature. Materials and Methods: Whole-brain diffusion-weighted (DW) imaging data from 14 patients with bilateral PVNH and 14 age-and sex-matched healthy control subjects were prospectively acquired by using 3.0-T magnetic resonance (MR) imaging between August 1, 2008, and December 5, 2012. All participants provided written informed consent. The DW imaging data were processed to generate whole-brain constrained spherical deconvolution (CSD)-based tractography data and super-resolution track-density imaging (TDI) maps. The tractography data were overlaid on coregistered three-dimensional T1-weighted images to visually assess regions of heterotopia. A panel of MR imaging researchers independently assessed each case and indicated numerically (no = 1, yes = 2) as to the presence of abnormal fiber tracks in nodular tissue. The Fleiss kappa statistical measure was applied to assess the reader agreement. Results: Abnormal fiber tracks emanating from one or more regions of heterotopia were reported by all four readers in all 14 patients with PVNH (Fleiss kappa = 1). These abnormal structures were not visible on the tractography data from any of the control subjects and were not discernable on the conventional T1-weighted images of the patients with PVNH. Conclusion: Whole-brain CSD-based fiber tractography and super-resolution TDI mapping reveals abnormal fiber projections in nodular tissue suggestive of abnormal organization of white matter (with abnormal fibers both within nodules and projecting to the surrounding white matter) in patients with bilateral PVNH. (C) RSNA, 2016",Periventricular Nodular Heterotopia: Detection of Abnormal Microanatomic Fiber Structures with Whole-Brain Diffusion MR Imaging Tractography,2016,RADIOLOGY,Article,27355897,['DTI'],2.17,DTI
1,1,"In this paper, we review in brief the development of ideas that over time have tried to explain why some individuals are more creative than others and what may be the neurobiological links underlying artistic creativity. We note associations with another unique human idea, that of genius. In particular, we discuss frontotemporal dementia and bipolar, cyclothymic mood disorder as clinical conditions that are helping to unravel the underlying neuroanatomy and neurochemistry of human creativity. (C) 2016 Elsevier Inc. All rights reserved.",Neuropsychiatry of creativity,2016,EPILEPSY & BEHAVIOR,Review,26876274,['nomethod'],2.3,nomethod
2,2,"Although deep grey matter (GM) involvement in multiple sclerosis (MS) is well documented, in-vivo multi-parameter magnetic resonance imaging (MRI) studies and association with detailed cognitive measures are limited. We investigated volumetric, diffusion and perfusion metrics in thalamus, hippocampus, putamen, caudate nucleus and globus pallidum, and neuropsychological measures, spanning 4 cognitive domains, in 60 relapsing-remitting MS patients (RRMS) (mean disease duration of 5.1 years, median EDSS of 1.5) and 30 healthy controls. There was significantly reduced volume of thalamus, hippocampus and putamen in the RRMS patients, but no diffusion or perfusion changes in these structures. Decreased volume in these deep GM volumes in RRMS patients was associated with a modest reduction in cognitive performance, particularly information processing speed, consistent with a subtle disruption of distributed networks, that subserve cognition, in these patients. Future longitudinal studies are needed to elucidate the influence of deep GM changes on the evolution of cognitive deficits in MS. (C) 2015 Elsevier Ireland Ltd. All rights reserved.",Deep grey matter MRI abnormalities and cognitive function in relapsing-remitting multiple sclerosis,2015,PSYCHIATRY RESEARCH-NEUROIMAGING,Article,26602610,"['DTI', 'MRI', 'MRP']",2.0657277,DTI
2,2,"Although deep grey matter (GM) involvement in multiple sclerosis (MS) is well documented, in-vivo multi-parameter magnetic resonance imaging (MRI) studies and association with detailed cognitive measures are limited. We investigated volumetric, diffusion and perfusion metrics in thalamus, hippocampus, putamen, caudate nucleus and globus pallidum, and neuropsychological measures, spanning 4 cognitive domains, in 60 relapsing-remitting MS patients (RRMS) (mean disease duration of 5.1 years, median EDSS of 1.5) and 30 healthy controls. There was significantly reduced volume of thalamus, hippocampus and putamen in the RRMS patients, but no diffusion or perfusion changes in these structures. Decreased volume in these deep GM volumes in RRMS patients was associated with a modest reduction in cognitive performance, particularly information processing speed, consistent with a subtle disruption of distributed networks, that subserve cognition, in these patients. Future longitudinal studies are needed to elucidate the influence of deep GM changes on the evolution of cognitive deficits in MS. (C) 2015 Elsevier Ireland Ltd. All rights reserved.",Deep grey matter MRI abnormalities and cognitive function in relapsing-remitting multiple sclerosis,2015,PSYCHIATRY RESEARCH-NEUROIMAGING,Article,26602610,"['DTI', 'MRI', 'MRP']",2.0657277,MRI
2,2,"Although deep grey matter (GM) involvement in multiple sclerosis (MS) is well documented, in-vivo multi-parameter magnetic resonance imaging (MRI) studies and association with detailed cognitive measures are limited. We investigated volumetric, diffusion and perfusion metrics in thalamus, hippocampus, putamen, caudate nucleus and globus pallidum, and neuropsychological measures, spanning 4 cognitive domains, in 60 relapsing-remitting MS patients (RRMS) (mean disease duration of 5.1 years, median EDSS of 1.5) and 30 healthy controls. There was significantly reduced volume of thalamus, hippocampus and putamen in the RRMS patients, but no diffusion or perfusion changes in these structures. Decreased volume in these deep GM volumes in RRMS patients was associated with a modest reduction in cognitive performance, particularly information processing speed, consistent with a subtle disruption of distributed networks, that subserve cognition, in these patients. Future longitudinal studies are needed to elucidate the influence of deep GM changes on the evolution of cognitive deficits in MS. (C) 2015 Elsevier Ireland Ltd. All rights reserved.",Deep grey matter MRI abnormalities and cognitive function in relapsing-remitting multiple sclerosis,2015,PSYCHIATRY RESEARCH-NEUROIMAGING,Article,26602610,"['DTI', 'MRI', 'MRP']",2.0657277,MRP
3,3,"Suicidal vulnerability has been related to impaired value-based decision-making and increased sensitivity to social threat, mediated by the prefrontal cortex. Using functional magnetic resonance imaging, we aimed at replicating these previous findings by measuring brain activation during the Iowa Gambling Task and an emotional faces viewing task. Participants comprised 15 euthymic suicide attempters (history of depression and suicidal behavior) who were compared with 23 euthymic patient controls (history of depression without suicidal history) and 35 healthy controls. The following five model-based regions of interest were investigated: the orbitofrontal cortex (OFC), ventrolateral prefrontal cortex (VLPFC), anterior cingulate cortex (ACC), medial (MPFC) and dorsal prefrontal cortex (DPFC). Suicide attempters relative to patient controls showed (1) increased response to angry vs. neutral faces in the left OFC and the VLPFC, as previously reported; (2) increased response to wins vs. losses in the right OFC, DPFC and ACC; (3) decreased response to risky vs. safe choices in the left DPFC; and (4) decreased response to sad vs. neutral faces in the right ACC. This study links impaired valuation processing (here for signals of social threat, sadness and reward) to prefrontal cortex dysfunction in suicide attempters. These long-term deficits may underlie the impaired decision-making and social difficulties found in suicide attempters. (C) 2015 Elsevier Ireland Ltd. All rights reserved.",Processing of decision-making and social threat in patients with history of suicidal attempt: A neuroimaging replication study,2015,PSYCHIATRY RESEARCH-NEUROIMAGING,Article,26483212,['nomethod'],1.877934272,nomethod
4,4,"Objective: To use a multimodal approach to assess brain structural pathways and resting state (RS) functional connectivity abnormalities in patients with Parkinson's disease and freezing of gait (PD-FoG). Methods: T1-weighted, diffusion tensor (DT) MRI and RS functional MRI (fMRI) were obtained from 22 PD-FoG patients and 35 controls on a 3.0 T MR scanner. Patients underwent clinical, motor, and neuropsychological evaluations. Gray matter (GM) volumes and white matter (WM) damage were assessed using voxel based morphometry and tract-based spatial statistics, respectively. The pedunculopontine tract (PPT) was studied using tractography. RS fMRI data were analyzed using a model free approach investigating the main sensorimotor and cognitive brain networks. Multiple regression models were performed to assess the relationships between structural, functional, and clinical/cognitive variables. Analysis of GM and WM structural abnormalities was replicated in an independent sample including 28 PD-FoG patients, 25 PD patients without FoG, and 30 healthy controls who performed MRI scans on a 1.5 T scanner. Results: Compared with controls, no GM atrophy was found in PD-FoG cases. PD-FoG patients showed WM damage of the PPT, corpus callosum, corticospinal tract, cingulum, superior longitudinal fasciculus, and WM underneath the primary motor, premotor, prefrontal, orbitofrontal, and inferior parietal cortices, bilaterally. In PD-FoG, right PTT damage was associated with a greater disease severity. Analysis on the independent PD sample showed similar findings in PD-FoG patients relative to controls as well as WM damage of the genu and body of the corpus callosum and right parietal WM in PD-FoG relative to PD no-FoG patients. RS fMRI analysis showed that PD-FoG is associated with a decreased functional connectivity of the primary motor cortex and supplementary motor area bilaterally in the sensorimotor network, frontoparietal regions in the default mode network, and occipital cortex in the visual associative network. Conclusions: This study suggests that FoG in PD can be the result of a poor structural and functional integration between motor and extramotor (cognitive) neural systems. (C) 2015 Wiley Periodicals, Inc.",Brain Structural and Functional Connectivity in Parkinson's Disease With Freezing of Gait,2015,HUMAN BRAIN MAPPING,Article,26359798,"['DTI', 'fMRI', 'MRI', 'rsFMRI']",1.99,DTI
4,4,"Objective: To use a multimodal approach to assess brain structural pathways and resting state (RS) functional connectivity abnormalities in patients with Parkinson's disease and freezing of gait (PD-FoG). Methods: T1-weighted, diffusion tensor (DT) MRI and RS functional MRI (fMRI) were obtained from 22 PD-FoG patients and 35 controls on a 3.0 T MR scanner. Patients underwent clinical, motor, and neuropsychological evaluations. Gray matter (GM) volumes and white matter (WM) damage were assessed using voxel based morphometry and tract-based spatial statistics, respectively. The pedunculopontine tract (PPT) was studied using tractography. RS fMRI data were analyzed using a model free approach investigating the main sensorimotor and cognitive brain networks. Multiple regression models were performed to assess the relationships between structural, functional, and clinical/cognitive variables. Analysis of GM and WM structural abnormalities was replicated in an independent sample including 28 PD-FoG patients, 25 PD patients without FoG, and 30 healthy controls who performed MRI scans on a 1.5 T scanner. Results: Compared with controls, no GM atrophy was found in PD-FoG cases. PD-FoG patients showed WM damage of the PPT, corpus callosum, corticospinal tract, cingulum, superior longitudinal fasciculus, and WM underneath the primary motor, premotor, prefrontal, orbitofrontal, and inferior parietal cortices, bilaterally. In PD-FoG, right PTT damage was associated with a greater disease severity. Analysis on the independent PD sample showed similar findings in PD-FoG patients relative to controls as well as WM damage of the genu and body of the corpus callosum and right parietal WM in PD-FoG relative to PD no-FoG patients. RS fMRI analysis showed that PD-FoG is associated with a decreased functional connectivity of the primary motor cortex and supplementary motor area bilaterally in the sensorimotor network, frontoparietal regions in the default mode network, and occipital cortex in the visual associative network. Conclusions: This study suggests that FoG in PD can be the result of a poor structural and functional integration between motor and extramotor (cognitive) neural systems. (C) 2015 Wiley Periodicals, Inc.",Brain Structural and Functional Connectivity in Parkinson's Disease With Freezing of Gait,2015,HUMAN BRAIN MAPPING,Article,26359798,"['DTI', 'fMRI', 'MRI', 'rsFMRI']",1.99,fMRI
4,4,"Objective: To use a multimodal approach to assess brain structural pathways and resting state (RS) functional connectivity abnormalities in patients with Parkinson's disease and freezing of gait (PD-FoG). Methods: T1-weighted, diffusion tensor (DT) MRI and RS functional MRI (fMRI) were obtained from 22 PD-FoG patients and 35 controls on a 3.0 T MR scanner. Patients underwent clinical, motor, and neuropsychological evaluations. Gray matter (GM) volumes and white matter (WM) damage were assessed using voxel based morphometry and tract-based spatial statistics, respectively. The pedunculopontine tract (PPT) was studied using tractography. RS fMRI data were analyzed using a model free approach investigating the main sensorimotor and cognitive brain networks. Multiple regression models were performed to assess the relationships between structural, functional, and clinical/cognitive variables. Analysis of GM and WM structural abnormalities was replicated in an independent sample including 28 PD-FoG patients, 25 PD patients without FoG, and 30 healthy controls who performed MRI scans on a 1.5 T scanner. Results: Compared with controls, no GM atrophy was found in PD-FoG cases. PD-FoG patients showed WM damage of the PPT, corpus callosum, corticospinal tract, cingulum, superior longitudinal fasciculus, and WM underneath the primary motor, premotor, prefrontal, orbitofrontal, and inferior parietal cortices, bilaterally. In PD-FoG, right PTT damage was associated with a greater disease severity. Analysis on the independent PD sample showed similar findings in PD-FoG patients relative to controls as well as WM damage of the genu and body of the corpus callosum and right parietal WM in PD-FoG relative to PD no-FoG patients. RS fMRI analysis showed that PD-FoG is associated with a decreased functional connectivity of the primary motor cortex and supplementary motor area bilaterally in the sensorimotor network, frontoparietal regions in the default mode network, and occipital cortex in the visual associative network. Conclusions: This study suggests that FoG in PD can be the result of a poor structural and functional integration between motor and extramotor (cognitive) neural systems. (C) 2015 Wiley Periodicals, Inc.",Brain Structural and Functional Connectivity in Parkinson's Disease With Freezing of Gait,2015,HUMAN BRAIN MAPPING,Article,26359798,"['DTI', 'fMRI', 'MRI', 'rsFMRI']",1.99,MRI
4,4,"Objective: To use a multimodal approach to assess brain structural pathways and resting state (RS) functional connectivity abnormalities in patients with Parkinson's disease and freezing of gait (PD-FoG). Methods: T1-weighted, diffusion tensor (DT) MRI and RS functional MRI (fMRI) were obtained from 22 PD-FoG patients and 35 controls on a 3.0 T MR scanner. Patients underwent clinical, motor, and neuropsychological evaluations. Gray matter (GM) volumes and white matter (WM) damage were assessed using voxel based morphometry and tract-based spatial statistics, respectively. The pedunculopontine tract (PPT) was studied using tractography. RS fMRI data were analyzed using a model free approach investigating the main sensorimotor and cognitive brain networks. Multiple regression models were performed to assess the relationships between structural, functional, and clinical/cognitive variables. Analysis of GM and WM structural abnormalities was replicated in an independent sample including 28 PD-FoG patients, 25 PD patients without FoG, and 30 healthy controls who performed MRI scans on a 1.5 T scanner. Results: Compared with controls, no GM atrophy was found in PD-FoG cases. PD-FoG patients showed WM damage of the PPT, corpus callosum, corticospinal tract, cingulum, superior longitudinal fasciculus, and WM underneath the primary motor, premotor, prefrontal, orbitofrontal, and inferior parietal cortices, bilaterally. In PD-FoG, right PTT damage was associated with a greater disease severity. Analysis on the independent PD sample showed similar findings in PD-FoG patients relative to controls as well as WM damage of the genu and body of the corpus callosum and right parietal WM in PD-FoG relative to PD no-FoG patients. RS fMRI analysis showed that PD-FoG is associated with a decreased functional connectivity of the primary motor cortex and supplementary motor area bilaterally in the sensorimotor network, frontoparietal regions in the default mode network, and occipital cortex in the visual associative network. Conclusions: This study suggests that FoG in PD can be the result of a poor structural and functional integration between motor and extramotor (cognitive) neural systems. (C) 2015 Wiley Periodicals, Inc.",Brain Structural and Functional Connectivity in Parkinson's Disease With Freezing of Gait,2015,HUMAN BRAIN MAPPING,Article,26359798,"['DTI', 'fMRI', 'MRI', 'rsFMRI']",1.99,rsFMRI
