Title ,PMID,Point,MNCS,Rank,Percent,Year,Journal
The contribution of diffusion-weighted MR imaging to distinguishing typical from atypical meningioma,16786348,4657,2.789699571,329,94%,2006,NEURORADIOLOGY
MRI growth patterns of plexiform neurofibromas in patients with neurofibromatosis type 1,16432718,4668,2.789699571,329,94%,2006,NEURORADIOLOGY
Gender-specific cerebral activation during cognitive tasks using functional MRI: comparison of women,16328492,4683,2.789699571,329,94%,2006,NEURORADIOLOGY
The emerging role of multidetector row CT angiography in the diagnosis of cervical arterial dissecti,16752137,4687,2.789699571,329,94%,2006,NEURORADIOLOGY
Association between neurovascular contact on MRI and response to gamma knife radiosurgery in trigemi,16237547,4692,2.789699571,329,94%,2006,NEURORADIOLOGY
Posterior reversible encephalopathy syndrome after solid organ transplantation,18272559,1045,2.783171521,335,94%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
The role of DTI in early detection of cervical spondylotic myelopathy: a preliminary study with 3-T,21344215,5306,2.780352178,336,94%,2011,NEURORADIOLOGY
Axial diffusivity is increased in the degenerating superior cerebellar peduncles of Friedreich's ata,21128070,5308,2.780352178,336,94%,2011,NEURORADIOLOGY
Initial experience with the Penumbra Stroke System for recanalization of large vessel occlusions in,20532495,5316,2.780352178,336,94%,2011,NEURORADIOLOGY
Intracranial angioplasty and stenting: Long-term results from a single center,17032860,423,2.777777778,339,94%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Spatial profiling of the corticospinal tract in amyotrophic lateral sclerosis using diffusion tensor,17608909,3717,2.777777778,339,94%,2007,JOURNAL OF NEUROIMAGING
Delayed ipsilateral parenchymal hemorrhage following treatment of intracranial aneurysms with flow d,24240633,5714,2.772073922,341,94%,2014,NEURORADIOLOGY
Stenting is improving and stabilizing anatomical results of coiled intracranial aneurysms,19322563,5114,2.760736196,343,94%,2009,NEURORADIOLOGY
Microemboli in aneurysmal subarachnoid hemorrhage,18494776,3772,2.760084926,344,94%,2008,JOURNAL OF NEUROIMAGING
Predictive factors of outcome and hemorrhage after acute ischemic stroke treated by mechanical throm,23644538,5559,2.756653992,345,94%,2013,NEURORADIOLOGY
"Differentiation between Glioblastomas, Solitary Brain Metastases, and Primary Cerebral Lymphomas Usi",21330399,1923,2.75,346,94%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
"Response to Immunotherapy in CLIPPERS: Clinical, MRI, and MRS Follow-Up",21848680,4149,2.747252747,347,94%,2013,JOURNAL OF NEUROIMAGING
