Title ,PMID,Point,MNCS,Rank,Percent,Year ,Journal
Neuroarchitecture of Verbal and Tonal Working Memory in Nonmusicians and Musicians,20533560,667,2.55,667,94%,2011,HUMAN BRAIN MAPPING
Diffusion Tensor Imaging and White Matter Lesions at the Subacute Stage in Mild Traumatic Brain Inju,20669166,668,2.55,667,94%,2011,HUMAN BRAIN MAPPING
The Human Amygdala and Pain: Evidence From Neuroimaging,23097300,669,2.55,667,94%,2014,HUMAN BRAIN MAPPING
Regional white matter volume differences in nondemented aging and Alzheimer's disease,19027860,670,2.55,667,94%,2009,NEUROIMAGE
Dynamic causal modeling of cortical activity from the acute to the chronic stage after stroke,21238594,671,2.55,667,94%,2011,NEUROIMAGE
Rich club analysis in the Alzheimer's disease connectome reveals a relatively undisturbed structural,26037224,672,2.54,672,94%,2015,HUMAN BRAIN MAPPING
Granger causality analysis of fMRI BOLD signals is invariant to hemodynamic convolution but not down,23036449,673,2.54,672,94%,2013,NEUROIMAGE
Waxholm Space atlas of the Sprague Dawley rat brain,24726336,674,2.54,672,94%,2014,NEUROIMAGE
Contributions of episodic retrieval and mentalizing to autobiographical thought: Evidence from funct,24486981,675,2.54,672,94%,2014,NEUROIMAGE
Can structural MRI aid in clinical classification? A machine learning study in two independent sampl,24004694,676,2.54,672,94%,2014,NEUROIMAGE
A guideline for head volume conductor modeling in EEG and MEG,24971512,677,2.54,672,94%,2014,NEUROIMAGE
Recent binge drinking predicts smaller cerebellar volumes in adolescents,23154095,678,2.539912917,678,94%,2013,PSYCHIATRY RESEARCH-NEUROIMAGING
Altered functional connectivity of the insular cortex across prefrontal networks in cocaine addictio,23684980,679,2.539912917,678,94%,2013,PSYCHIATRY RESEARCH-NEUROIMAGING
Amygdala atrophy is prominent in early Alzheimer's disease and relates to symptom severity,21920712,680,2.536997886,680,94%,2011,PSYCHIATRY RESEARCH-NEUROIMAGING
Frontal midline EEG dynamics during working memory,15927487,681,2.53,681,94%,2005,NEUROIMAGE
Self-face recognition activates a frontoparietal mirror network in the right hemisphere: an event-re,15808992,682,2.53,681,94%,2005,NEUROIMAGE
"10/20, 10/10, and 10/5 systems revisited: Their validity as relative head-surface-based positioning",17207640,683,2.53,681,94%,2007,NEUROIMAGE
Depth-resolved optical imaging and microscopy of vascular compartment dynamics during somatosensory,17222567,684,2.53,681,94%,2007,NEUROIMAGE
Brain dopamine transporter levels in treatment and drug naive adults with ADHD,17126039,685,2.53,681,94%,2007,NEUROIMAGE
Discriminative analysis of early Alzheimer's disease using multi-modal imaging and multi-level chara,22008370,686,2.53,681,94%,2012,NEUROIMAGE
Cognitive functions correlate with white matter architecture in a normal pediatric population: A dif,15858815,687,2.52,687,94%,2005,HUMAN BRAIN MAPPING
Reduced Functional Connectivity Within the Limbic Cortico-Striato-Thalamo-Cortical Loop in Unmedicat,24123377,688,2.52,687,94%,2014,HUMAN BRAIN MAPPING
DTI Correlates of Distinct Cognitive Impairments in Parkinson's Disease,23417856,689,2.52,687,94%,2014,HUMAN BRAIN MAPPING
Reduced Specificity of Functional Connectivity in the Aging Brain During Task Performance,22915491,690,2.52,687,94%,2014,HUMAN BRAIN MAPPING
The functional anatomy of the MMN: A DCM study of the roving paradigm,18602841,691,2.52,687,94%,2008,NEUROIMAGE
Selective aberrant functional connectivity of resting state networks in social anxiety disorder,20470894,692,2.52,687,94%,2010,NEUROIMAGE
Altered white matter microstructure in the corpus callosum in Huntington's disease: Implications for,19850138,693,2.52,687,94%,2010,NEUROIMAGE
Maturation of limbic corticostriatal activation and connectivity associated with developmental chang,20816974,694,2.52,687,94%,2011,NEUROIMAGE
Is fMRI noise really noise? Resting state nuisance regressors remove variance with network structure,25862264,695,2.52,687,94%,2015,NEUROIMAGE
Brain Activity During Visual Versus Kinesthetic Imagery: An fMRI Study,18819106,696,2.51,696,94%,2009,HUMAN BRAIN MAPPING
Increased Self-Focus in Major Depressive Disorder Is Related to Neural Abnormalities in Subcortical-,19117277,697,2.51,696,94%,2009,HUMAN BRAIN MAPPING
Effects of Age and Alzheimer's Disease on Hippocampal Subfields: Comparison Between Manual and FreeS,25231681,698,2.5,698,94%,2015,HUMAN BRAIN MAPPING
Qualitatively Different Coding of Symbolic and Nonsymbolic Numbers in the Human Brain,25238646,699,2.5,698,94%,2015,HUMAN BRAIN MAPPING
Sex Differences in Normal Age Trajectories of Functional Brain Networks,25523617,700,2.5,698,94%,2015,HUMAN BRAIN MAPPING
Characterizing brain anatomical connections using diffusion weighted MRI and graph theory,17466539,701,2.5,698,94%,2007,NEUROIMAGE
Regulation of anterior insular cortex activity using real-time fMRI,17336094,702,2.5,698,94%,2007,NEUROIMAGE
Metabolic brain networks associated with cognitive function in Parkinson's disease,17113310,703,2.5,698,94%,2007,NEUROIMAGE
Multivariate network analysis of fiber tract integrity in Alzheimer's disease,17166745,704,2.5,698,94%,2007,NEUROIMAGE
Does feature selection improve classification accuracy? Impact of sample size and feature selection,22166797,705,2.5,698,94%,2012,NEUROIMAGE
One-year test-retest reliability of intrinsic connectivity network fMRI in older adults,22446491,706,2.5,698,94%,2012,NEUROIMAGE
"Large-scale brain networks emerge from dynamic processing of musical timbre, key and rhythm",22116038,707,2.5,698,94%,2012,NEUROIMAGE
Construction of a consistent high-definition spatio-temporal atlas of the developing brain using ada,21985910,708,2.5,698,94%,2012,NEUROIMAGE
"Typical development of basal ganglia, hippocampus, amygdala and cerebellum from age 7 to 24",24705201,709,2.5,698,94%,2014,NEUROIMAGE
Anatomically motivated modeling of cortical laminae,23603284,710,2.5,698,94%,2014,NEUROIMAGE
"A manual and automated MRI study of anterior cingulate and orbito-frontal cortices, and caudate nucl",15766634,711,2.5,698,94%,2005,PSYCHIATRY RESEARCH-NEUROIMAGING
Chronic active heavy drinking and family history of problem drinking modulate regional brain tissue,15766635,712,2.5,698,94%,2005,PSYCHIATRY RESEARCH-NEUROIMAGING
Amygdala and nucleus accumbens in responses to receipt and omission of gains in adults and adolescen,15850746,713,2.49,713,94%,2005,NEUROIMAGE
Neural substrates of faulty decision-making in abstinent marijuana users,15907305,714,2.49,713,94%,2005,NEUROIMAGE
DTI tractography based parcellation of white matter: Application to the mid-sagittal morphology of c,15862219,715,2.49,713,94%,2005,NEUROIMAGE
Declarative memory impairments in Alzheimer's disease and semantic dementia,16300967,716,2.49,713,94%,2006,NEUROIMAGE
Post-movement beta rebound is generated in motor cortex: Evidence from neuromagnetic recordings,16863693,717,2.49,713,94%,2006,NEUROIMAGE
Structural and functional biomarkers of prodromal Alzheimer's disease: A high-dimensional pattern cl,18400519,718,2.49,713,94%,2008,NEUROIMAGE
Atlas-based segmentation of white matter tracts of the human brain using diffusion tensor tractograp,17919935,719,2.49,713,94%,2008,NEUROIMAGE
Real versus imagined locomotion: A [F-18]-FDG PET-fMRI comparison,20034578,720,2.49,713,94%,2010,NEUROIMAGE
Addiction related alteration in resting-state brain connectivity,19703568,721,2.49,713,94%,2010,NEUROIMAGE
When less is more: TPJ and default network deactivation during encoding predicts working memory perf,19913622,722,2.49,713,94%,2010,NEUROIMAGE
Global fiber reconstruction becomes practical,20854913,723,2.49,713,94%,2011,NEUROIMAGE
Impact of mindfulness on the neural responses to emotional pictures in experienced and beginner medi,21679770,724,2.49,713,94%,2011,NEUROIMAGE
Failing to deactivate: The association between brain activity during a working memory task and creat,21111830,725,2.49,713,94%,2011,NEUROIMAGE
Brain anatomical networks in early human brain development,20650319,726,2.49,713,94%,2011,NEUROIMAGE
Impairment of fronto-striatal and parietal cerebral networks correlates with attention deficit hyper,20558047,727,2.481840194,727,94%,2010,PSYCHIATRY RESEARCH-NEUROIMAGING
Microstructural Status of Ipsilesional and Contralesional Corticospinal Tract Correlates with Motor,19370766,728,2.48,728,94%,2009,HUMAN BRAIN MAPPING
Prefrontal Transcranial Direct Current Stimulation Alters Activation and Connectivity in Cortical an,24453107,729,2.48,728,94%,2014,HUMAN BRAIN MAPPING
"Dynamic coherence analysis of resting fMRI data to jointly capture state-based phase, frequency, and",26162552,730,2.48,728,94%,2015,NEUROIMAGE
High resolution whole brain diffusion imaging at 7 T for the Human Connectome Project,26260428,732,2.48,728,94%,2015,NEUROIMAGE
A functional and structural study of emotion and face processing in children with autism,19665877,733,2.471910112,733,94%,2009,PSYCHIATRY RESEARCH-NEUROIMAGING
Location and spatial profile of category-specific regions in human extrastriate cortex,15966002,734,2.47,734,94%,2006,HUMAN BRAIN MAPPING
The Neural Correlates of Sex Differences in Emotional Reactivity and Emotion Regulation,19957268,735,2.47,734,94%,2010,HUMAN BRAIN MAPPING
Evaluation of slice accelerations using multiband echo planar imaging at 3 T,23899722,736,2.47,734,94%,2013,NEUROIMAGE
Bootstrap white matter tractography (BOOT-TRAC),15627594,737,2.46,737,94%,2005,NEUROIMAGE
Using fMRI to decompose the neural processes underlying the Wisconsin Card Sorting Test,16414280,738,2.46,737,94%,2006,NEUROIMAGE
Regional specificity of MRI contrast parameter changes in normal ageing revealed by voxel-based quan,21277375,739,2.46,737,94%,2011,NEUROIMAGE
"A neural basis for interindividual differences in the McGurk effect, a multisensory speech illusion",21787869,740,2.46,737,94%,2012,NEUROIMAGE
Quantification of the cortical contribution to the NIRS signal over the motor cortex using concurren,22036999,741,2.46,737,94%,2012,NEUROIMAGE
Neurophysiologic correlates of fMRI in human motor cortex,21692146,742,2.45,742,94%,2012,HUMAN BRAIN MAPPING
Brain mechanisms for processing affective touch,22125232,743,2.45,742,94%,2013,HUMAN BRAIN MAPPING
Comparing Manual and Automatic Segmentation of Hippocampal Volumes: Reliability and Validity Issues,24532539,744,2.45,742,94%,2014,HUMAN BRAIN MAPPING
Neuropsychiatric Symptoms in Alzheimer's Disease Are Related to Functional Connectivity Alterations,23418130,745,2.45,742,94%,2014,HUMAN BRAIN MAPPING
Manifold Regularized Multitask Feature Learning for Multimodality Disease Classification,25277605,746,2.45,742,94%,2015,HUMAN BRAIN MAPPING
Abstinent adolescent marijuana users show altered fMRI response during spatial working memory,18356027,747,2.440512508,747,94%,2008,PSYCHIATRY RESEARCH-NEUROIMAGING
Regional gray matter abnormalities in panic disorder: A voxel-based morphometry study,18417322,748,2.440512508,747,94%,2008,PSYCHIATRY RESEARCH-NEUROIMAGING
White matter plasticity in the corticospinal tract of musicians: A diffusion tensor imaging study,19264144,749,2.44,749,94%,2009,NEUROIMAGE
Traditional Chinese acupuncture and placebo (sham) acupuncture are differentiated by their effects o,19501658,750,2.44,749,94%,2009,NEUROIMAGE
Brain development and aging: Overlapping and unique patterns of change,23246860,751,2.44,749,94%,2013,NEUROIMAGE
SIFT2: Enabling dense quantitative assessment of brain white matter connectivity using streamlines t,26163802,752,2.44,749,94%,2015,NEUROIMAGE
Sparse network-based models for patient classification using fMRI,25463459,753,2.44,749,94%,2015,NEUROIMAGE
The brain's resting-state activity is shaped by synchronized cross-frequency coupling of neural osci,25680519,754,2.44,749,94%,2015,NEUROIMAGE
Conflict monitoring and error processing: New insights from simultaneous EEG-fMRI,25462691,755,2.44,749,94%,2015,NEUROIMAGE
In vivo evidence of global and focal brain alterations in anorexia nervosa,21546219,756,2.431289641,756,94%,2011,PSYCHIATRY RESEARCH-NEUROIMAGING
Dose-dependent attenuation of auditory phantom perception (tinnitus) by PET-guided repetitive transc,16773635,757,2.43,757,94%,2007,HUMAN BRAIN MAPPING
Tensorial extensions of independent component analysis for multisubject FMRI analysis,15734364,758,2.43,757,94%,2005,NEUROIMAGE
Frontal circuitry degradation marks healthy adult aging: Evidence from diffusion tensor imaging,15955499,759,2.43,757,94%,2005,NEUROIMAGE
Reward expectation modulates feedback-related negativity and EEG spectra,17257860,760,2.43,757,94%,2007,NEUROIMAGE
Diffusion tensor imaging with tract-based spatial statistics reveals local white matter abnormalitie,17344066,761,2.43,757,94%,2007,NEUROIMAGE
The optimal template effect in hippocampus studies of diseased populations,19818860,762,2.43,757,94%,2010,NEUROIMAGE
Three stages of facial expression processing: ERP study with rapid serial visual presentation,19770052,763,2.43,757,94%,2010,NEUROIMAGE
Voxelwise genome-wide association study (vGWAS),20171287,764,2.43,757,94%,2010,NEUROIMAGE
Differentiating BOLD and non-BOLD signals in fMRI time series using multi-echo EPI,25064668,765,2.43,757,94%,2012,NEUROIMAGE
"Neurovascular coupling in normal aging: A combined optical, ERP and fMRI study",23664952,766,2.43,757,94%,2014,NEUROIMAGE
"fMRI abnormalities in dorsolateral prefrontal cortex during a working memory task in manic, euthymic",20227857,767,2.421307506,767,94%,2010,PSYCHIATRY RESEARCH-NEUROIMAGING
Structural and functional imaging approaches in attention deficit/hyperactivity disorder: Does the t,20702071,768,2.421307506,767,94%,2010,PSYCHIATRY RESEARCH-NEUROIMAGING
Functional connectivity in major depression: Increased phase synchronization between frontal cortica,24674895,769,2.420701169,769,94%,2014,PSYCHIATRY RESEARCH-NEUROIMAGING
Revisiting the role of Broca's area in sentence processing: Syntactic integration versus syntactic w,15455462,770,2.42,770,94%,2005,HUMAN BRAIN MAPPING
Avoiding asymmetry-induced bias in longitudinal image processing,21376812,771,2.42,770,94%,2011,NEUROIMAGE
Ventromedial prefrontal volume predicts understanding of others and social network size,21616156,772,2.42,770,94%,2011,NEUROIMAGE
HPA axis dysfunction in unmedicated major depressive disorder and its normalization by pharmacothera,17587554,773,2.411021814,773,94%,2007,PSYCHIATRY RESEARCH-NEUROIMAGING
"Assessment of cortical degeneration in patients with Parkinson's disease by voxel-based morphometry,",21898679,774,2.41,774,94%,2012,HUMAN BRAIN MAPPING
Structural Abnormalities in the Dyslexic Brain: A Meta-Analysis of Voxel-Based Morphometry Studies,22711189,775,2.41,774,94%,2013,HUMAN BRAIN MAPPING
Their Pain is Not Our Pain: Brain and Autonomic Correlates of Empathic Resonance With the Pain of Sa,22807311,776,2.41,774,94%,2013,HUMAN BRAIN MAPPING
Multivariate Lesion-Symptom Mapping Using Support Vector Regression,25044213,777,2.41,774,94%,2014,HUMAN BRAIN MAPPING
Meta-analysis of neuroimaging data: A comparison of image-based and coordinate-based pooling of stud,19166944,778,2.41,774,94%,2009,NEUROIMAGE
