Unnamed: 0,Unnamed: 0.1,AB,TI,SO_x,DT,year,PM,methods,MNCS_x,methods2,SO_y,MNCS_y,KW,KW2
1,1,"BACKGROUND AND PURPOSE: Flow disruption with the WEB-DL device has been used safely for the treatment of wide-neck bifurcation aneurysms. The stability of aneurysm occlusion after this treatment was evaluated in the short and midterm, but not in the long term. This retrospective multicenter European study is the continuation of an already published series dealing with short- and midterm anatomic results and analyzes long-term data in patients treated with the WEB-DL MATERIALS AND METHODS: Twelve European neurointerventional centers initially participated in the study. In addition to data collected for the initial publication, images obtained at long-term follow-up were collected and independently analyzed by the same experienced interventional neuroradiologist. RESULTS: Of the initial 45 patients, 26 (20 women and 6 men; 35-73 years of age; mean, 55.2 +/- 10.6 years; median, 55.5 years) with 26 aneurysms treated with the WEB-DL device had long-term follow-up (median, 27.4 months). Three of 26 patients (11.5%) were retreated between short- and midterm follow-up, and none, between mid- and long-term follow-up. Long-term aneurysm occlusion in the 19 patients treated with the WEB only and not retreated during follow-up was complete occlusion in 13/19 patients (68.4%), including aneurysms with opacification of the proximal recess in 9/19 patients (47.4%), neck remnant in 3/19 patients (15.8%), and aneurysm remnant in 3/19 patients (15.8%). In all patients (100.0%), aneurysm occlusion was stable between midterm and long-term follow-up. CONCLUSIONS: The results suggest that WEB treatment of wide-neck bifurcation aneurysms offers long-term stable occlusion.",WEB-DL Endovascular Treatment of Wide-Neck Bifurcation Aneurysms: Long-Term Results in a European Series,AMERICAN JOURNAL OF NEURORADIOLOGY,Article,2015,26228882,['angiography'],2.182890855,angiography,AMERICAN JOURNAL OF NEURORADIOLOGY,2.182890855,"['intracranial aneurysms', 'flow-disruption', 'device', 'trial', 'feasibility']",aneurysms
2,2,"The aim of this study is to investigate whether early changes in tumor volume and perfusion measurements derived from dynamic contrast-enhanced magnetic resonance imaging (DCE-MRI) may predict response to antiangiogenic therapy in recurrent high-grade gliomas. Twenty-seven patients who received bevacizumab every 3 weeks were enrolled in the study. For each patient, three MRI scans were performed: at baseline, after the first dose, and after the fourth dose of bevacizumab. The entire tumor volume (V-tot), as well as contrast-enhanced and noncontrast-enhanced tumor subvolumes (VCE-T1 and VNON-CE-T1, respectively) were outlined using post-contrast T1-weighted images as a guide for the tumor location. Histogram analysis of normalized IAUGC (nIAUGC) and transfer constant K-trans maps were performed. Each patient was classified as a responder patient if he/she had a partial response or a stable disease or as a nonresponder patient if he/she had progressive disease. Responding patients showed a larger reduction in VNON-CE-T1 after a single dose, compared to nonresponding patients. Tumor subvolumes with increased values of nIAUGC and K-trans, after a single dose, significantly differed between responders and nonresponders. The radiological response was found to be significantly associated to the clinical outcome. After a single dose, V-tot was predictive of overall survival (OS), while VCE-T1 showed a tendency of correlation with OS. Tumor subvolumes with increased nIAUGC and K-trans showed the potential for improving the diagnostic accuracy of DCE. Early assessments of the entire tumor volume, including necrotic areas, may provide complementary information of tumor behavior in response to anti-VEGF therapies and is worth further investigation.",Early biomarkers from dynamic contrast-enhanced magnetic resonance imaging to predict the response to antiangiogenic therapy in high-grade gliomas,NEURORADIOLOGY,Article,2015,26364181,"['DCE-MRI', 'MRI', 'MRP']",2.06185567,DCE-MRI,NEURORADIOLOGY,2.06185567,"['quantitative', 'bevacizumab', 'high-grade glioma', 'adc histogram analysis', 'recurrent glioblastoma', 'dce mri', 'perfusion mri', 'bevacizumab treatment']",tumor
2,2,"The aim of this study is to investigate whether early changes in tumor volume and perfusion measurements derived from dynamic contrast-enhanced magnetic resonance imaging (DCE-MRI) may predict response to antiangiogenic therapy in recurrent high-grade gliomas. Twenty-seven patients who received bevacizumab every 3 weeks were enrolled in the study. For each patient, three MRI scans were performed: at baseline, after the first dose, and after the fourth dose of bevacizumab. The entire tumor volume (V-tot), as well as contrast-enhanced and noncontrast-enhanced tumor subvolumes (VCE-T1 and VNON-CE-T1, respectively) were outlined using post-contrast T1-weighted images as a guide for the tumor location. Histogram analysis of normalized IAUGC (nIAUGC) and transfer constant K-trans maps were performed. Each patient was classified as a responder patient if he/she had a partial response or a stable disease or as a nonresponder patient if he/she had progressive disease. Responding patients showed a larger reduction in VNON-CE-T1 after a single dose, compared to nonresponding patients. Tumor subvolumes with increased values of nIAUGC and K-trans, after a single dose, significantly differed between responders and nonresponders. The radiological response was found to be significantly associated to the clinical outcome. After a single dose, V-tot was predictive of overall survival (OS), while VCE-T1 showed a tendency of correlation with OS. Tumor subvolumes with increased nIAUGC and K-trans showed the potential for improving the diagnostic accuracy of DCE. Early assessments of the entire tumor volume, including necrotic areas, may provide complementary information of tumor behavior in response to anti-VEGF therapies and is worth further investigation.",Early biomarkers from dynamic contrast-enhanced magnetic resonance imaging to predict the response to antiangiogenic therapy in high-grade gliomas,NEURORADIOLOGY,Article,2015,26364181,"['DCE-MRI', 'MRI', 'MRP']",2.06185567,MRI,NEURORADIOLOGY,2.06185567,"['quantitative', 'bevacizumab', 'high-grade glioma', 'adc histogram analysis', 'recurrent glioblastoma', 'dce mri', 'perfusion mri', 'bevacizumab treatment']",tumor
2,2,"The aim of this study is to investigate whether early changes in tumor volume and perfusion measurements derived from dynamic contrast-enhanced magnetic resonance imaging (DCE-MRI) may predict response to antiangiogenic therapy in recurrent high-grade gliomas. Twenty-seven patients who received bevacizumab every 3 weeks were enrolled in the study. For each patient, three MRI scans were performed: at baseline, after the first dose, and after the fourth dose of bevacizumab. The entire tumor volume (V-tot), as well as contrast-enhanced and noncontrast-enhanced tumor subvolumes (VCE-T1 and VNON-CE-T1, respectively) were outlined using post-contrast T1-weighted images as a guide for the tumor location. Histogram analysis of normalized IAUGC (nIAUGC) and transfer constant K-trans maps were performed. Each patient was classified as a responder patient if he/she had a partial response or a stable disease or as a nonresponder patient if he/she had progressive disease. Responding patients showed a larger reduction in VNON-CE-T1 after a single dose, compared to nonresponding patients. Tumor subvolumes with increased values of nIAUGC and K-trans, after a single dose, significantly differed between responders and nonresponders. The radiological response was found to be significantly associated to the clinical outcome. After a single dose, V-tot was predictive of overall survival (OS), while VCE-T1 showed a tendency of correlation with OS. Tumor subvolumes with increased nIAUGC and K-trans showed the potential for improving the diagnostic accuracy of DCE. Early assessments of the entire tumor volume, including necrotic areas, may provide complementary information of tumor behavior in response to anti-VEGF therapies and is worth further investigation.",Early biomarkers from dynamic contrast-enhanced magnetic resonance imaging to predict the response to antiangiogenic therapy in high-grade gliomas,NEURORADIOLOGY,Article,2015,26364181,"['DCE-MRI', 'MRI', 'MRP']",2.06185567,MRP,NEURORADIOLOGY,2.06185567,"['quantitative', 'bevacizumab', 'high-grade glioma', 'adc histogram analysis', 'recurrent glioblastoma', 'dce mri', 'perfusion mri', 'bevacizumab treatment']",tumor
3,3,"BACKGROUND AND PURPOSEObstructive sleep apnea (OSA) subjects show brain injury in sites that control autonomic, cognitive, and mood functions that are deficient in the condition. The processes contributing to injury may include altered blood-brain barrier (BBB) actions. Our aim was to examine BBB function, based on diffusion-weighted pseudo-continuous arterial spin labeling (DW-pCASL) procedures, in OSA compared to controls. METHODSWe performed DW-pCASL imaging in nine OSA and nine controls on a 3.0-Tesla MRI scanner. Global mean gray and white matter arterial transient time (ATT, an index of large artery integrity), water exchange rate across the BBB (Kw, BBB function), DW-pCASL ratio, and cerebral blood flow (CBF) values were compared between OSA and control subjects. RESULTSGlobal mean gray and white matter ATT (OSA vs. controls; gray matter, 1.691 .120 vs. 1.658 +/- .109 second, P = .49; white matter, 1.700 +/- .115 vs. 1.650 +/- .114 second, P = .44), and CBF values (gray matter, 57.4 +/- 15.8 vs. 58.2 +/- 10.7 ml/100 g/min, P = .67; white matter, 24.2 +/- 7.0 vs. 24.6 +/- 6.7 ml/100 g/min, P = .91) did not differ significantly, but global gray and white matter Kw (gray matter, 158.0 +/- 28.9 vs. 220.8 +/- 40.6 min(-1), P = .002; white matter, 177.5 +/- 57.2 vs. 261.1 +/- 51.0 min(-1), P = .006), and DW-pCASL ratio (gray matter, .727 +/- .076 vs. .823 +/- .069, P = .011; white matter, .722 +/- .144 vs. .888 +/- .100, P = .004) values were significantly reduced in OSA over controls. CONCLUSIONSOSA subjects show compromised BBB function, but intact large artery integrity. The BBB alterations may introduce neural damage contributing to abnormal functions in OSA, and suggest a need to repair BBB function with strategies commonly used in other fields.",Water Exchange across the Blood-Brain Barrier in Obstructive Sleep Apnea: An MRI Diffusion-Weighted Pseudo-Continuous Arterial Spin Labeling Study,JOURNAL OF NEUROIMAGING,Article,2015,26333175,"['ASL', 'DTI', 'MRI']",2.119700748,ASL,JOURNAL OF NEUROIMAGING,2.119700748,"['hyperthermia-induced seizures', 'magnetic-resonance-spectroscopy', 'magnetic resonance imaging', 'pseudo-continuous arterial spin labeling']",seizures
3,3,"BACKGROUND AND PURPOSEObstructive sleep apnea (OSA) subjects show brain injury in sites that control autonomic, cognitive, and mood functions that are deficient in the condition. The processes contributing to injury may include altered blood-brain barrier (BBB) actions. Our aim was to examine BBB function, based on diffusion-weighted pseudo-continuous arterial spin labeling (DW-pCASL) procedures, in OSA compared to controls. METHODSWe performed DW-pCASL imaging in nine OSA and nine controls on a 3.0-Tesla MRI scanner. Global mean gray and white matter arterial transient time (ATT, an index of large artery integrity), water exchange rate across the BBB (Kw, BBB function), DW-pCASL ratio, and cerebral blood flow (CBF) values were compared between OSA and control subjects. RESULTSGlobal mean gray and white matter ATT (OSA vs. controls; gray matter, 1.691 .120 vs. 1.658 +/- .109 second, P = .49; white matter, 1.700 +/- .115 vs. 1.650 +/- .114 second, P = .44), and CBF values (gray matter, 57.4 +/- 15.8 vs. 58.2 +/- 10.7 ml/100 g/min, P = .67; white matter, 24.2 +/- 7.0 vs. 24.6 +/- 6.7 ml/100 g/min, P = .91) did not differ significantly, but global gray and white matter Kw (gray matter, 158.0 +/- 28.9 vs. 220.8 +/- 40.6 min(-1), P = .002; white matter, 177.5 +/- 57.2 vs. 261.1 +/- 51.0 min(-1), P = .006), and DW-pCASL ratio (gray matter, .727 +/- .076 vs. .823 +/- .069, P = .011; white matter, .722 +/- .144 vs. .888 +/- .100, P = .004) values were significantly reduced in OSA over controls. CONCLUSIONSOSA subjects show compromised BBB function, but intact large artery integrity. The BBB alterations may introduce neural damage contributing to abnormal functions in OSA, and suggest a need to repair BBB function with strategies commonly used in other fields.",Water Exchange across the Blood-Brain Barrier in Obstructive Sleep Apnea: An MRI Diffusion-Weighted Pseudo-Continuous Arterial Spin Labeling Study,JOURNAL OF NEUROIMAGING,Article,2015,26333175,"['ASL', 'DTI', 'MRI']",2.119700748,DTI,JOURNAL OF NEUROIMAGING,2.119700748,"['hyperthermia-induced seizures', 'magnetic-resonance-spectroscopy', 'magnetic resonance imaging', 'pseudo-continuous arterial spin labeling']",seizures
3,3,"BACKGROUND AND PURPOSEObstructive sleep apnea (OSA) subjects show brain injury in sites that control autonomic, cognitive, and mood functions that are deficient in the condition. The processes contributing to injury may include altered blood-brain barrier (BBB) actions. Our aim was to examine BBB function, based on diffusion-weighted pseudo-continuous arterial spin labeling (DW-pCASL) procedures, in OSA compared to controls. METHODSWe performed DW-pCASL imaging in nine OSA and nine controls on a 3.0-Tesla MRI scanner. Global mean gray and white matter arterial transient time (ATT, an index of large artery integrity), water exchange rate across the BBB (Kw, BBB function), DW-pCASL ratio, and cerebral blood flow (CBF) values were compared between OSA and control subjects. RESULTSGlobal mean gray and white matter ATT (OSA vs. controls; gray matter, 1.691 .120 vs. 1.658 +/- .109 second, P = .49; white matter, 1.700 +/- .115 vs. 1.650 +/- .114 second, P = .44), and CBF values (gray matter, 57.4 +/- 15.8 vs. 58.2 +/- 10.7 ml/100 g/min, P = .67; white matter, 24.2 +/- 7.0 vs. 24.6 +/- 6.7 ml/100 g/min, P = .91) did not differ significantly, but global gray and white matter Kw (gray matter, 158.0 +/- 28.9 vs. 220.8 +/- 40.6 min(-1), P = .002; white matter, 177.5 +/- 57.2 vs. 261.1 +/- 51.0 min(-1), P = .006), and DW-pCASL ratio (gray matter, .727 +/- .076 vs. .823 +/- .069, P = .011; white matter, .722 +/- .144 vs. .888 +/- .100, P = .004) values were significantly reduced in OSA over controls. CONCLUSIONSOSA subjects show compromised BBB function, but intact large artery integrity. The BBB alterations may introduce neural damage contributing to abnormal functions in OSA, and suggest a need to repair BBB function with strategies commonly used in other fields.",Water Exchange across the Blood-Brain Barrier in Obstructive Sleep Apnea: An MRI Diffusion-Weighted Pseudo-Continuous Arterial Spin Labeling Study,JOURNAL OF NEUROIMAGING,Article,2015,26333175,"['ASL', 'DTI', 'MRI']",2.119700748,MRI,JOURNAL OF NEUROIMAGING,2.119700748,"['hyperthermia-induced seizures', 'magnetic-resonance-spectroscopy', 'magnetic resonance imaging', 'pseudo-continuous arterial spin labeling']",seizures
4,4,"BACKGROUND AND PURPOSE: In the early stages of idiopathic Parkinson disease, motor symptoms are usually asymmetric. We aimed to assess the feasibility of nigrosome 1 detection at 3T MR imaging to analyze the agreement of its asymmetry and clinical laterality. MATERIALS AND METHODS: High-resolution 3D multiecho imaging was performed at 31 MR imaging in 13 healthy subjects and 24 patients with idiopathic Parkinson disease confirmed by N-3-fluoropropy1-2-beta-carbomethoxy-3-beta-(4-iodophenyl) nortropane (F-18-FP-CIT) PET. The nigrosome 1 detection findings by using the MR imaging data were rated as ""normal,"" ""possibly abnormal,"" and ""abnormal"" by 2 independent reviewers. The degree of F-18-FP-CIT binding was visually assessed in the caudate nucleus and putamen on PET images. Clinical laterality was evaluated by scores of the Unified Parkinson Disease Rating Scale, Part III. Asymmetry of the affected nigrosome 1 and the degree of F-18-FP-CIT binding were analyzed for agreement with clinical laterality. RESULTS: The diagnostic sensitivity, specificity, and accuracy of the nigrosome 1 detection at 3T MR imaging was 100%, 84.6%, and 94.6%, respectively. Interrater agreements for the abnormality and asymmetry of nigrosome 1 were excellent (kappa = 0.863 and 0.835, respectively). In patients with idiopathic Parkinson disease, the agreement of asymmetry between clinical laterality and nigrosome 1 detection was good (kappa = 0.724). The degree of the F-18-FP-CIT PET binding showed fair agreement (kappa = 0.235) with clinical laterality. CONCLUSIONS: The abnormality involving nigrosome 1 can be detected at 3T MR imaging with an accuracy of 94.6%. The clinical laterality is in high concordance with the laterality of the nigrosome 1 detection at 3T (kappa = 0.724).",Nigrosome 1 Detection at 3T MRI for the Diagnosis of Early-Stage Idiopathic Parkinson Disease: Assessment of Diagnostic Accuracy and Agreement on Imaging Asymmetry and Clinical Laterality,AMERICAN JOURNAL OF NEURORADIOLOGY,Article,2015,26294646,"['MRI', 'PET']",1.887905605,MRI,AMERICAN JOURNAL OF NEURORADIOLOGY,1.887905605,"['human brain', 'pd pathoanatomical correlation', 'substantia-nigra']",substantia-nigra
4,4,"BACKGROUND AND PURPOSE: In the early stages of idiopathic Parkinson disease, motor symptoms are usually asymmetric. We aimed to assess the feasibility of nigrosome 1 detection at 3T MR imaging to analyze the agreement of its asymmetry and clinical laterality. MATERIALS AND METHODS: High-resolution 3D multiecho imaging was performed at 31 MR imaging in 13 healthy subjects and 24 patients with idiopathic Parkinson disease confirmed by N-3-fluoropropy1-2-beta-carbomethoxy-3-beta-(4-iodophenyl) nortropane (F-18-FP-CIT) PET. The nigrosome 1 detection findings by using the MR imaging data were rated as ""normal,"" ""possibly abnormal,"" and ""abnormal"" by 2 independent reviewers. The degree of F-18-FP-CIT binding was visually assessed in the caudate nucleus and putamen on PET images. Clinical laterality was evaluated by scores of the Unified Parkinson Disease Rating Scale, Part III. Asymmetry of the affected nigrosome 1 and the degree of F-18-FP-CIT binding were analyzed for agreement with clinical laterality. RESULTS: The diagnostic sensitivity, specificity, and accuracy of the nigrosome 1 detection at 3T MR imaging was 100%, 84.6%, and 94.6%, respectively. Interrater agreements for the abnormality and asymmetry of nigrosome 1 were excellent (kappa = 0.863 and 0.835, respectively). In patients with idiopathic Parkinson disease, the agreement of asymmetry between clinical laterality and nigrosome 1 detection was good (kappa = 0.724). The degree of the F-18-FP-CIT PET binding showed fair agreement (kappa = 0.235) with clinical laterality. CONCLUSIONS: The abnormality involving nigrosome 1 can be detected at 3T MR imaging with an accuracy of 94.6%. The clinical laterality is in high concordance with the laterality of the nigrosome 1 detection at 3T (kappa = 0.724).",Nigrosome 1 Detection at 3T MRI for the Diagnosis of Early-Stage Idiopathic Parkinson Disease: Assessment of Diagnostic Accuracy and Agreement on Imaging Asymmetry and Clinical Laterality,AMERICAN JOURNAL OF NEURORADIOLOGY,Article,2015,26294646,"['MRI', 'PET']",1.887905605,PET,AMERICAN JOURNAL OF NEURORADIOLOGY,1.887905605,"['human brain', 'pd pathoanatomical correlation', 'substantia-nigra']",substantia-nigra
5,5,"BACKGROUND AND PURPOSE: Carotid webs may cause recurrent ischemic stroke. We describe the prevalence, demographics, clinical presentation, imaging features, histopathology, and stroke risk associated with this under-recognized lesion. MATERIALS AND METHODS: A carotid web was defined on CTA as a thin intraluminat filling defect along the posterior wall of the carotid bulb just beyond the carotid bifurcation on oblique sagittal section CTA that was seen as a septum on axial CTA. Using a prospective case series from April 2013 to April 2014, we describe the demographics, spectrum of imaging features on CTA, and histopathology of these carotid webs. From a retrospective analysis of patients at our center from May 2012 to April 2013 who had a baseline head and neck CTA followed by a brain MR imaging within 1-2 days of the CTA, we determine the period prevalence of carotid webs and the prevalence of ipsilateral stroke on imaging. RESULTS: In the prospective series, the mean age was 50 years (range, 41-55 years); 5/7 patients were women. Recurrent stroke was seen in 5/7 (71.4%) patients with the carotid web; time to recurrence ranged from 1 to 97 months. Histopathology suggested a high probability of fibromuscular dysptasia. In the retrospective series, carotid webs were seen in 7/576 patients for a hospital-based-period prevalence of 1.2% (95% CI, 0.4%-2.5%). Two of these 7 patients had acute stroke in the vascular territory of the carotid web. CONCLUSIONS: A carotid web may contribute to recurrent ischemic stroke in patients with no other determined stroke mechanism. Intimal variant fibromuscular dysplasia is the pathologic diagnosis in most cases. The prevalence of carotid web is low, while the optimal management strategy remains unknown.",Carotid Webs and Recurrent Ischemic Strokes in the Era of CT Angiography,AMERICAN JOURNAL OF NEURORADIOLOGY,Article,2015,26228877,"['Angiography', 'CT']",2.595870206,Angiography,AMERICAN JOURNAL OF NEURORADIOLOGY,2.595870206,"['artery web', 'atypical fibromuscular hyperplasia', 'dysplasia', 'stenosis']",stenosis
